Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2025-11-11,Cable Overhead Triceps Extension,Triceps,27.5,lbs,8,,,,"Grabbing the ball part. Pushing woth my thumbs in an in and out method to get full triceps use"
2025-11-11,Cable Overhead Triceps Extension,Triceps,27.5,lbs,6,,,,""
2025-11-11,Lateral Dumbbell Raise,Shoulders,17.5,lbs,7,,,,"Changed the ordering today"
2025-11-11,Lateral Dumbbell Raise,Shoulders,17.5,lbs,5,,,,"Can't complete a 6th rep"
2025-11-11,Lateral Dumbbell Raise,Shoulders,17.5,lbs,4,,,,""
2025-11-11,Lateral Dumbbell Raise,Shoulders,10.0,lbs,10,,,,"Did right after 3rd set to really max out my gains"
2025-11-11,Seated Leg Curl Machine,Legs,50.0,lbs,10,,,,""
2025-11-11,Seated Leg Curl Machine,Legs,50.0,lbs,10,,,,"Feel a stretch, indicates I need to literally stretch my calves more lol. Could have done more"
2025-11-11,Seated Leg Curl Machine,Legs,57.5,lbs,10,,,,""
2025-11-11,Leg Extension Machine,Legs,70.0,lbs,10,,,,""
2025-11-11,Leg Extension Machine,Legs,70.0,lbs,10,,,,""
2025-11-11,Leg Extension Machine,Legs,70.0,lbs,10,,,,""
2025-11-11,Pull Up,Back,0.0,lbs,4,,,,"My grip strength is stopping me from more reps"
2025-11-11,Pull Up,Back,0.0,lbs,5,,,,"Went through my reps quicker but steady to get more reps in before my arms fatigued. Also used death grip since it's less grip strength reliant"
2025-11-11,Pull Up,Back,0.0,lbs,3,,,,""
2025-11-11,Wrist Curls In,Arms,25.0,lbs,8,,,,""
2025-11-11,Wrist Curls In,Arms,25.0,lbs,8,,,,""
2025-11-11,Wrist Curls In,Arms,25.0,lbs,5,,,,""
2025-11-11,Wrist Curls In,Arms,25.0,lbs,1,,,,"Hold for as long as possible"
2025-11-11,Hanging Leg Raise,Abs,0.0,lbs,10,,,,"I feel it more in my abs, not having my legs not fully straightened, feel it more on the way down"
2025-11-11,Hanging Leg Raise,Abs,0.0,lbs,9,,,,""
